Mini-Max Input, Col1, Col2, Col3, Col4, Col5, Col6, Col7
1, 14.0, 525.0, 33.0, 179.0, 195.0, 270.0, 0
1, 13.0, 51.0, 220.0, 76.0, 141.0, 392.0, 135.0
1, 12.0, 100.0, 32.0, 9.0, 120.0, 100, 0
1, 16.0, 100.0, 30.0, 17.0, 131.0, 210, 0
1, 18.0, 67, 52, 44, 41, 200, 0
1, 19.0, 0, 152.0, 47.0, 173.0, 167.0, 0
1, 10.0, 0, 67.0, 47.0, 139.0, 140.0, 0
1, 14.0, 525.0, 33.0, 179.0, 195.0, 27.0, 0
1, 10.0, 0, 67.0, 47.0, 139.0, 140.0, 0
1, 20.0, 168.0, 172.0, 170.0, 136.0, 57.0, 59.0
2, 430.0, 525.0, 303.0, 79.0, 95.0, 27.0, 0
2, 130.0, 251.0, 220.0, 76.0, 41.0, 392.0, 135.0
2, 230.0, 218.0, 175.0, 55.0, 34.0, 10.0, 0
2, 250.0, 516.0, 188.0, 62.0, 113.0, 155.0, 232.0
2, 184.0, 483.0, 142.0, 28.0, 138.0, 55.0, 19.0
2, 204.0, 353.0, 159.0, 83.0, 149.0, 37.0, 0
2, 140.0, 253.0, 159.0, 83.0, 149.0, 37.0, 0
2, 250.0, 516.0, 280.0, 62.0, 113.0, 155.0, 232.0
2, 213.0, 351.0, 220.0, 76.0, 41.0, 392.0, 135.0
2, 230.0, 108.0, 175.0, 55.0, 34.0, 10.0, 0
3, 117.0, 1187.0, 3291.0, 1734.0, 4418.0, 3406.0, 700.0
3, 162.0, 1310.0, 2245.0, 852.0, 4859.0, 5262.0, 1061.0
3, 195.0, 1516.0, 3800.0, 1430.0, 4462.0, 4002.0, 1200.0
3, 120.0, 1049.0, 3339.0, 1262.0, 4832.0, 3987.0, 1158.0
3, 176.0, 1330.0, 3107.0, 1136.0, 4137.0, 4269.0, 1137.0
3, 120.0, 1049.0, 3339.0, 1262.0, 4832.0, 5987.0, 1158.0
3, 176.0, 1303.0, 3107.0, 1316.0, 4137.0, 5269.0, 1137.0
3, 195.0, 1006.0, 3800.0, 1430.0, 4620.0, 5002.0, 2010.0
3, 117.0, 1187.0, 4291.0, 1734.0, 4418.0, 5340.0, 1700.0
3, 162.0, 1010.0, 4245.0, 1852.0, 4859.0, 5262.0, 1061.0
4, 845.0, 15493.0, 15137.0, 3741.0, 4250.0, 8810.0, 425.0
4, 927.0, 79560.0, 3980.0, 15705.0, 5198.0, 5497.0, 101.0
4, 918.0, 75080.0, 3443.0, 18686.0, 3818.0, 5650.0, 381.0
4, 839.0, 10650.0, 4328.0, 12425.0, 3202.0, 2776.0, 1526.0
4, 688.0, 13780.0, 4856.0, 1656.0, 2348.0, 7894.0, 250.0
4, 642.0, 15517.0, 3041.0, 1185.0, 5574.0, 1986.0, 1788.0
4, 845.0, 15493.0, 5137.0, 1741.0, 4250.0, 8810.0, 4258.0
4, 839.0, 10655.0, 5328.0, 12425.0, 3202.0, 2776.0, 1526.0
4, 927.0, 17956.0, 4980.0, 15705.0, 4198.0, 5497.0, 101.0
4, 839.0, 11065.0, 5328.0, 12425.0, 3202.0, 2776.0, 1526.0
5, 798.0, 7246.0, 5010.0, 5532.0, 5968.0, 12859.0, 356.0
5, 1372.0, 2818.0, 5232.0, 4325.0, 4100.0, 17021.0, 507.0
5, 1356.0, 7113.0, 3321.0, 5431.0, 7162.0, 11765.0, 778.0
5, 1718.0, 2004.0, 2475.0, 5362.0, 2551.0, 14996.0, 449.0
5, 1395.0, 7003.0, 3461.0, 5444.0, 7764.0, 17578.0, 407.0
5, 654.0, 7299.0, 3624.0, 5703.0, 8677.0, 12221.0, 421.0
5, 2640.0, 7626.0, 4796.0, 5745.0, 12775.0, 13352.0, 778.0
5, 5798.0, 21246.0, 6010.0, 6532.0, 1696.0, 1285.0, 356.0
5, 395.0, 7003.0, 3461.0, 5444.0, 7764.0, 7578.0, 407.0
5, 718.0, 7004.0, 10475.0, 7362.0, 2551.0, 14996.0, 449.0