Mini-Max Input Depth, Space Required
1, 99.387
1, 99.332
1, 99.371
1, 99.387
1, 99.263
1, 99.355
1, 99.327
1, 99.258
1, 99.236
1, 99.312
2, 99.574
2, 99.625
2, 99.453
2, 99.357
2, 99.256
2, 99.298
2, 99.420
2, 99.168
2, 99.250
2, 99.762
3, 99.383
3, 99.418
3, 99.326
3, 99.256
3, 99.362
3, 99.418
3, 99.326
3, 99.297
3, 99.363
3, 99.441
4, 99.184
4, 99.371
4, 99.344
4, 99.446
4, 99.568
4, 99.578
4, 99.625
4, 99.758
4, 99.624
4, 99.458
5, 99.832
5, 99.863
5, 99.726
5, 99.945
5, 99.868
5, 99.898
5, 99.870
5, 99.927
5, 99.807